iter	Logloss
0	0.6829161685
1	0.673822184
2	0.6652786383
3	0.6568685675
4	0.6487733605
5	0.6402699946
6	0.6323993851
7	0.6250529477
8	0.6181525487
9	0.611114798
10	0.6045697409
11	0.598519622
12	0.5929226976
13	0.5877426808
14	0.5820304262
15	0.5769775534
16	0.5720502831
17	0.5677794118
18	0.5628041728
19	0.5583461503
20	0.5539145157
21	0.549498976
22	0.5455691104
23	0.5420831243
24	0.5385417845
25	0.5352942582
26	0.5320100087
27	0.5286484152
28	0.5255457923
29	0.5228815019
30	0.5197621251
31	0.516571613
32	0.5138233753
33	0.5109481027
34	0.5081210033
35	0.5054318359
36	0.5032672557
37	0.5009215764
38	0.4987887422
39	0.4964911783
40	0.4941964285
41	0.4922055429
42	0.4899174314
43	0.4879626851
44	0.486105193
45	0.4841808836
46	0.4826126319
47	0.480784859
48	0.4789293305
49	0.477307253
50	0.4755891897
51	0.4740515515
52	0.4725640366
53	0.4709655989
54	0.4695654938
55	0.4680988789
56	0.4668955312
57	0.4657341636
58	0.4643698048
59	0.4632451202
60	0.4619146906
61	0.4606523098
62	0.4595207298
63	0.4582472885
64	0.4572178432
65	0.4562719415
66	0.4552471069
67	0.4541577035
68	0.4531485254
69	0.4520886968
70	0.4511432146
71	0.4501373425
72	0.4492314033
73	0.4483202547
74	0.4473604484
75	0.446337812
76	0.4453580848
77	0.4445272801
78	0.4437041957
79	0.4429518543
80	0.4419759021
81	0.4411713547
82	0.4403540311
83	0.4394850913
84	0.438538684
85	0.4377693768
86	0.4370417294
87	0.4363561032
88	0.4357751675
89	0.4350121077
90	0.434307982
91	0.4336123051
92	0.4328970098
93	0.4321826433
94	0.4315780284
95	0.4309316727
96	0.4303579437
97	0.4297799472
98	0.4291138901
99	0.4285271452
100	0.4278373957
101	0.4272177468
102	0.4266411741
103	0.4260737512
104	0.4254818272
105	0.4249496113
106	0.4243358195
107	0.4236361352
108	0.423150261
109	0.4226914341
110	0.4222555278
111	0.4217117551
112	0.4211516772
113	0.4206223798
114	0.4201089442
115	0.4195852263
116	0.419117961
117	0.4187049059
118	0.4181705721
119	0.4175562928
120	0.4171143761
121	0.4165837864
122	0.416093474
123	0.4156120786
124	0.4151779539
125	0.4148145873
126	0.4143348471
127	0.4138996964
128	0.4133693496
129	0.4129079998
130	0.4128190053
131	0.4123208592
132	0.4118078483
133	0.41133705
134	0.4109098071
135	0.4104334211
136	0.4100650642
137	0.4097429222
138	0.4092886739
139	0.4089184292
140	0.4085052496
141	0.4081126444
142	0.407730595
143	0.4073132768
144	0.4069630989
145	0.4066861904
146	0.4063823429
147	0.4060194182
148	0.405542195
149	0.4051322553
150	0.4048364307
151	0.4044502186
152	0.4041662103
153	0.4038439607
154	0.4035215461
155	0.4031808988
156	0.4028707819
157	0.4025021213
158	0.4021211633
159	0.4018107168
160	0.4014762888
161	0.4011344645
162	0.4007936283
163	0.400473299
164	0.4000592214
165	0.3996772554
166	0.3992280437
167	0.3988468317
168	0.3985702404
169	0.3982746212
170	0.3979869708
171	0.3976563515
172	0.3973059507
173	0.3969843679
174	0.3966958953
175	0.3963354805
176	0.3961058868
177	0.3958443104
178	0.395572751
179	0.3953269893
180	0.3950903555
181	0.3947744137
182	0.3945091909
183	0.3942580064
184	0.3940825147
185	0.393781615
186	0.3934987412
187	0.3931470416
188	0.3929069274
189	0.3925736408
190	0.3923289616
191	0.3922329733
192	0.391907847
193	0.3916356626
194	0.3913234846
195	0.3909868314
196	0.390743303
197	0.3904963697
198	0.3902322524
199	0.3899639771
200	0.3896883053
201	0.3893308429
202	0.3889617528
203	0.3887545002
204	0.3885193366
205	0.3882468119
206	0.3879465997
207	0.3876994716
208	0.3874258893
209	0.3872311732
210	0.387041779
211	0.3868185369
212	0.386594928
213	0.3863231439
214	0.3860738063
215	0.3858030799
216	0.3855436903
217	0.3853602754
218	0.3850382745
219	0.3847786381
220	0.3845257594
221	0.3842812282
222	0.3840521032
223	0.3837421725
224	0.3835268396
225	0.3832969502
226	0.3831170749
227	0.3828789541
228	0.3826029359
229	0.382327113
230	0.3820787419
231	0.3817733885
232	0.3814771255
233	0.3812688763
234	0.3809720349
235	0.3806856955
236	0.3804649308
237	0.380263921
238	0.3799812223
239	0.3797191258
240	0.3794726338
241	0.3792380643
242	0.3790158504
243	0.3787679013
244	0.3785924536
245	0.3783711946
246	0.3780527851
247	0.3778449708
248	0.377818104
249	0.3775605969
250	0.3772823001
251	0.3770356927
252	0.3768324957
253	0.3765890098
254	0.3763912206
255	0.3762048613
256	0.3760056852
257	0.3757362564
258	0.3755565819
259	0.3753675185
260	0.375180608
261	0.374960221
262	0.3747003314
263	0.3744491034
264	0.3742811344
265	0.3740362231
266	0.3739100352
267	0.3736458136
268	0.3734198069
269	0.3731735099
270	0.372909485
271	0.372674492
272	0.3724285902
273	0.3722539598
274	0.3721665644
275	0.3720169773
276	0.3718866382
277	0.3716829577
278	0.371414891
279	0.3712003083
280	0.3710676072
281	0.3708598263
282	0.3705214631
283	0.3702693537
284	0.3700430401
285	0.3697713779
286	0.3695223171
287	0.3693017232
288	0.3689956127
289	0.3687752745
290	0.3685907947
291	0.3683913755
292	0.3680874189
293	0.367847165
294	0.3676881453
295	0.3675557422
296	0.3673458484
297	0.3671530069
298	0.3668725951
299	0.3666536637
300	0.3665113529
301	0.3663061055
302	0.3661093862
303	0.3660093722
304	0.3657832326
305	0.3655903345
306	0.3654965177
307	0.3652399934
308	0.3650970884
309	0.3649211691
310	0.3647020368
311	0.3645501375
312	0.3643883072
313	0.3642381268
314	0.3640725318
315	0.3638516959
316	0.3637209735
317	0.3635484192
318	0.3633280397
319	0.3631833417
320	0.3630082456
321	0.3628358988
322	0.3626834749
323	0.3625698193
324	0.3623595621
325	0.3621567809
326	0.3619682129
327	0.3618545029
328	0.3616103734
329	0.3614629897
330	0.3611941551
331	0.3610128982
332	0.3608645203
333	0.360704257
334	0.3605172499
335	0.3603326318
336	0.3602361825
337	0.360045293
338	0.359938829
339	0.3597648338
340	0.3595495815
341	0.3593781478
342	0.3592156058
343	0.3590573469
